			調査対象URL				"項目の説明：
階層：<数字>/<*>/<**>
<アルファベット>は「NISTEP-DSlink-Target」シートのカラム番号に相当。"	1. オートコンプリート	**サジェスト	**スペルチェック	2.ベストファースト = O:ソート	* 関連度	* 人気度	* 日付	* フォーマット（ソースの）	* パーソナライズ	* 多様性（多様性(表現の多様性の吸収など)アルゴリズム）	**スコア	3. 横断検索	**エンジン（マルチエンジン）	4. ファセット型ナビ = ファセット型ナビ	L:ビルダー形式GUI	5.詳細検索 = K:詳細検索	J:検索box	6.パーソナライズ	X:login機能	**適合性のチューニング	**利用状況、利用コンテキスト	**訪問済み、履歴	**タグ、メモ、コメント	7.ページネーション = ページネーション	Q:全件表示	8. 構造化された結果（結果にふさわしい表示、Wolfram Alphaの例）	**ハイライト	**クラスタリング	**テキスト解析	V:データプロット	U:マップ	S:サムネイル	削除項目	9. アクション可能な結果（computable）	W:ロケータ/スライダ等、GUIによる指定	**パールグローイング（検索結果から次のクエリー（検索語）を導く）	N:検索結果リファイン	10. 統合的発見（システムの多機能性を利用した発見）	**レコメン	**セレンディピティ	**トピック	**曖昧性回避	R:バリアフリー	P:ダウンロード	M:検索対象のタイプ	T:ダウンロードのデータ形式	Y:利用統計	Z1:API	11. NISTEPサービスにあるが本書にない項目（空項目）	Z:その他	仕掛かり中	除外	完	担当	ジャンル	表示名
								1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	44	45	46	47	48	49	43							
1	https://www.cao.go.jp/		https://www.esri.cao.go.jp/jp/sna/menu.html	1	日本	国民経済計算			0	0	関連の高いもの/日付の新しいもの/日付の古いもの	1	0	1	0	0	0	0		1	1	0	1	1		0	0	0	0	0	1	0		0	0	0	0	0	1	0		0	0	0		関連キーワード	0	0	0	0	0	ページ	0	0	0	0				完		経済・産業統計/報告	国民経済計算
2	https://www.cao.go.jp/		https://www.cao.go.jp/	1	日本	独立行政法人・国立大学法人等の科学技術関係活動に関する調査（上記と同じサイトに遷移）			0	0	関連の高いもの/日付の新しいもの/日付の古いもの	1	0	1	0	0	0	0		0	0	0	1	1		0	0	0	0	0	1	0		0	0	0	0	0	1	0		0	0	0		関連キーワード	0	0	0	0	0	ページ	0	0	0	0			1	完		経済・産業統計/報告	科学技術関係活動に関する調査
4	http://www.stat.go.jp/		http://www.stat.go.jp/data/kagaku/index.html	1	日本	科学技術研究調査			0	0	0	0	0	0	0	0	0	0		1	0	0	1	googleカスタム		0	0	0	0	0	1	0		0	0	0	0	0	1	0		0	0	0		0	0	0	0	0	excel/e-statへのリンク	データセット	e-stat	0	1	0	API、e-statにはloginあり			完		学術統計	科学技術研究調査
5	http://www.stat.go.jp/		http://www.stat.go.jp/data/e-census/index.html	1	日本	経済センサス(上記と同じサイトに遷移)			0	0	0	0	0	0	0	0	0	0		0	0	0	1	googleカスタム		0	0	0	0	0	1	0		0	0	0	0	0	1	0		0	0	0		0	0	0	0	0	excel/e-statへのリンク	データセット	e-stat	0	1	0	API、e-statにはloginあり		1	完		経済・産業統計/報告	経済センサス
6	http://www.stat.go.jp/		http://www.stat.go.jp/data/jigyou/2006/index.html	1	日本	事業所・企業統計調査（平成18年度まで）（上記と同じサイトに遷移）			0	0	0	0	0	0	0	0	0	0		0	0	0	1	googleカスタム		0	0	0	0	0	1	0		0	0	0	0	0	1	0		0	0	0		0	0	0	0	0	excel/e-statへのリンク	データセット	e-stat	0	1	0	API、e-statにはloginあり		1	完		経済・産業統計/報告	事業所・企業統計調査
7	http://warp.ndl.go.jp/info:ndljp/pid/11293659/www.mext.go.jp/	https://www.mext.go.jp/b_menu/toukei/main_b8.htm	https://www.mext.go.jp/a_menu/shinkou/hojyo/1296236.htm	1	日本	科学研究費補助金　配分結果			1	0	一致順/新着順/ヒット数順	0	0	1	0	0	0	1		1	1	0	1	1		0	0	0	0	0	1	0		1	0	0	0	0	1	0		0	0	0		0	0	0	0	0	0	ページ/ドキュメント	0	0	0	0				完		補助金情報	科学研究費補助金　配分結果
8	http://warp.ndl.go.jp/info:ndljp/pid/11293659/www.mext.go.jp/	https://www.mext.go.jp/b_menu/toukei/main_b8.htm	https://www.mext.go.jp/b_menu/toukei/main_b8.htm	1	日本	国際研究交流の概況（上記と同じサイトに遷移）			1	0	0	0	0	1	0	0	0	1		1	0	0	1	1		0	0	0	0	0	1	0		1	0	0	0	0	1	0		0	0	0		0	0	0	0	0	0	ページ/ドキュメント	0	0	0	0			1	完		教育・学校統計/報告	国際研究交流の概況
15	http://www.nistep.go.jp/		http://www.nistep.go.jp/	1	日本	科学技術システムの課題に関する代表的研究者・有識者の意識定点調査			0	0	0	0	0	0	0	0	0	0		0	0	0	0	1		0	0	0	0	0	1	1		0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	ページ（報告書、お知らせ等様々）	0	0	0	0				完		経済・産業統計/報告	科学技術システムの意識定点調査
16	http://www.nistep.go.jp/		https://www.nistep.go.jp/research/rd-and-innovation/national-innovation-survey	1	日本	全国イノベーション調査(上記と同じサイトに遷移)			0	0	0	0	0	0	0	0	0	0		0	0	0	0	1		0	0	0	0	0	1	1		0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	ページ（報告書、お知らせ等様々）	0	0	0	0				完		経済・産業統計/報告	全国イノベーション調査
18	http://jglobal.jst.go.jp/		http://jglobal.jst.go.jp/	1	日本	J-GLOBAL			0	0	適合度/更新日の新しい順/更新日の古い順	1	0	1	0	0	0	0		1	1	0	スクリーンショット	1		1	1	0	0	0	1	0		0	0	0	0	0	0	0		0	0	スクリーンショット		同義語	0	0	0	0	0	材料/用語/ドキュメント/等	0	0	0	0	スクロールによる自動読み込み			完		学術総合	J-GLOBAL
19	http://researchmap.jp/		http://researchmap.jp/	1	日本	researchmap			0	0	0	0	0	0	0	0	0	0		0	0	0	1	1		1	0	0	0	0	1	0		0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	研究者/コミュニティ	0	0	0	0				完		学術総合	researchmap
20	http://www.jasso.go.jp/index.html		http://www.jasso.go.jp/index.html	1	日本	外国人留学生在籍状況調査			0	0	デフォルト/更新日	0	0	1	0	0	0	0		1	1	0	1	1		0	0	0	0	0	1	0		1	0	0	0	0	1	0		0	0	1		0	0	0	0	0	1	ドキュメント（PDF）	0	0	0	0				完		学生支援	外国人留学生在籍状況調査
21	http://portraits.niad.ac.jp/		http://portraits.niad.ac.jp/	1	日本	大学ポートレート			1	0	関連性/日付/地域/50音	1	0	1	0	0	0	0		0	1	0	1	1		0	1	0	0	0	1	0		1	0	0	0	全国地図	0	0		0	0	0		0	0	0	0	0	0	大学/短期大学	0	0	0	0				完		大学情報	大学ポートレート
22	http://portal.niad.ac.jp/ptrt/table.html/	https://portal.niad.ac.jp/ptrt/table.html	https://portal.niad.ac.jp/ptrt/table.html	1	日本	大学基本情報			0	0	0	0	0	0	0	0	0	0		0	0	0	0	0		0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	1	データセット	0	0	0	0				完		大学情報	大学基本情報
23	http://ci.nii.ac.jp/		http://ci.nii.ac.jp/	1	日本	CiNii Articles			0	0	スクリーンショット	0	0	1	0	0	0	被引用		1	1	0	1	1		1	0	0	0	0	1	0		1	0	0	0	0	0	0		0	0	0		0	0	0	0	0	1	著者/論文	0	0	1	0	API			完		学術論文	CiNii Articles
24	http://kaken.nii.ac.jp/		http://kaken.nii.ac.jp/	1	日本	KAKEN			0	0	スクリーンショット	1	0	1	0	0	0	0		0	1	0	スクリーンショット	1		0	1	0	0	0	1	1		1	0	0	1	0	0	0		スクリーンショット	0	スクリーンショット		0	0	0	0	0	1	科研研究課題	0	0	1	0	API			完		補助金情報	KAKEN
25	https://mhlw-grants.niph.go.jp/		https://mhlw-grants.niph.go.jp/	1	日本	厚生労働科学研究成果データベース			0	0	スクリーンショット	0	0	1	0	0	0	0		0	0	0	1	1		0	0	0	0	0	1	1		0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	研究課題	0	0	0	0				完		学術総合	厚生労働科学研究成果データベース
26	http://www.mhlw.go.jp/		https://www.mhlw.go.jp/toukei/list/chinginkouzou.html	1	日本	賃金構造基本統計調査			0	0	Relevance/Date	1	0	1	0	0	0	0		1	0	0	1	googleカスタム		0	1	0	0	0	1	0		1	0	0	0	0	1	0		0	0	0		0	0	0	0	1	0	ページ	0	0	0	0	点字コード			完		経済・産業統計/報告	賃金構造基本統計調査
27	http://www.hinshu2.maff.go.jp/		http://www.hinshu2.maff.go.jp/vips/cmm/apCMM110.aspx?MOSS=1	1	日本	品種登録／出願公表データ			0	0	表の各カラム	0	0	1	0	0	0	0		0	0	0	1	1		0	0	0	0	0	1	1		0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	1	出願情報	0	0	0	0				完		特許等	品種登録／出願公表データ
28	http://www.meti.go.jp/		https://www.meti.go.jp/statistics/tyo/kikatu/index.html	1	日本	経済産業省企業活動基本調査			0	0	日付順に並べ替え/関連の高い順に並べ替え	1	0	1	0	0	0	0		1	0	0	1	1		0	1	0	0	0	1	0		1	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	ページ/ファイル（スクリーンショット）	0	0	0	0				完		経済・産業統計/報告	経済産業省企業活動基本調査
32	http://www.rieti.go.jp/jp/index.html		http://www.rieti.go.jp/jp/index.html	1	日本	JIP (Japan Industrial Productivity) データベース			0	0	関連度/更新日	1	0	1	0	0	0	0		1	0	0	1	google		0	1	0	0	0	1	0		0	0	0	0	0	1	0		0	0	0		0	0	0	0	0	0	ページ	XLS/XLSXで統一	0	0	0	検索とは別にデータダウンロードサイトあり			完		経済・産業統計/報告	JIPデータベース
35	http://www.nedo.go.jp/		http://www.nedo.go.jp/	1	日本	成果報告書データベース			0	0	関連性/日付	0	0	1	0	0	0	0		1	0	0	1	google		0	1	0	0	0	1	0		0	0	0	0	0	1	0		0	0	0		0	0	0	0	0	1	ページ	PDF	0	0	0	無料の利用登録必要			完	大波さん	学術総合	成果報告書データベース
36	https://www.jpo.go.jp/resources/statistics/chizai_katudo/index.html		https://www.jpo.go.jp/resources/statistics/chizai_katudo/index.html	1	日本	知的財産活動調査			1	0	relevance/Date	1	0	1	0	0	0	0		0	0	0	1	google		0	1	0	0	0	1	0		1	0	0	0	0	1	0		0	0	0		0	0	0	0	0	0	ドキュメント（PDF）	0	0	0	0				完		特許等	知的財産活動調査
37	https://www.j-platpat.inpit.go.jp/web/all/top/BTmTopPage		https://www.j-platpat.inpit.go.jp/	1	日本	特許プラットフォーム			0	0	0	0	0	0	0	0	0	0		1	1	0	1	1		0	1	0	0	0	1	0		0	0	0	0	0	1	0		0	0	1		0	0	0	0	0	1	特許/実用新案/意匠/商標 出願・登録	0	0	0	0				完		特許等	特許プラットフォーム
38	http://www.iip.or.jp/		http://www.iip.or.jp/	1	日本	IIPパテントデータベース			0	0	Relevance/Date	1	0	1	0	0	0	0		0	0	0	1	google		0	1	0	0	0	1	0		1	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	ページ	0	0	0	0				完		特許等	IIPパテントデータベース
42	http://scirex.grips.ac.jp/		http://scirex.grips.ac.jp/	1	日本	指標情報データベース			0	0	0	0	0	0	0	0	0	0		0	0	0	0	0		0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	-	0	0	0	0				完		学術総合	指標情報データベース
43	http://www.bvdinfo.com/en-apac/home		http://www.bvdinfo.com/en-apac/home	1	世界	Orbis			0	0	0	0	0	0	0	0	0	0		0	0	0	0	1		1	0	0	0	0	1	0		0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	ページ	0	0	0	0				完		経済・産業統計/報告	Orbis
46	http://www.oecd-ilibrary.org/		http://www.oecd-ilibrary.org/	1	世界	Main Science and Technology Indicators (MSTI)			1	0	Relevance/Newest first/Oldest first	1	0	1	0	0	0	0		1	0	0	1	1		1	1	0	0	0	1	0		1	0	0	0	0	0	0		0	0	1		0	0	0	0	0	0	ドキュメント（論文/報告）	0	0	0	0				完		経済・産業統計/報告	Main Science and Technology Indicators
48	http://www.oecd.org/		https://data.oecd.org/	1	世界	Research &amp; Development Statistics			1	0	Relevance/Date/Alphabetivally	1	0	1	0	0	0	0		1	1	0	1	1		0	1	0	0	0	1	0		1	0	0	0	0	0	0		0	0	1		0	0	0	0	0	0	ドキュメント	0	0	0	0				完		経済・産業統計/報告	Research and Development Statistics
53	http://www.wipo.int/portal/en/		http://www.wipo.int/portal/en/	1	世界	WIPO IP Statistics Data Center			0	0	Relevance/Date	1	0	1	0	0	0	0		0	0	0	1	1		0	1	0	0	0	0	0		1	0	0	0	0	1	0		0	0	0		0	0	0	0	0	0	ページ/ドキュメント/データセット	0	0	0	0				完		特許等	WIPO IP Statistics Data Center
54	http://www.worldbank.org/		http://www.worldbank.org/	1	世界	World Bank Open Data			0	0	Date/Name/No./Type	0	0	1	1	0	0	0		1	1	0	1	1		0	0	0	0	0	1	0		0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	スクリーンショット	0	0	0	0				完		経済・産業統計/報告	World Bank Open Data
55	http://www.epo.org/index.html		http://www.epo.org/index.html	1	欧州	Espacenet			0	0	date/relevance	1	0	1	0	0	0	0		0	0	0	1	1		0	1	0	0	0	0	0		1	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	ページ/特許	0	0	0	0				完		特許等	Espacenet
57	http://ec.europa.eu/eurostat/web/main/home		http://ec.europa.eu/eurostat/web/main/home	1	欧州	Eurostat			1	0	Relevancy/Publication date	1	0	1	0	0	0	0		1	1	0	0	1		0	1	0	0	0	1	1		0	0	0	0	0	0	0		0	0	1		0	0	0	0	0	0	ドキュメント	"excel, tsv, sdmx"	0	0	0	データそのものにはブラウジング機能でアクセス可能、ダウンロードも可能、検索はできない。			完		経済・産業統計/報告	Eurostat
58	https://euipo.europa.eu/eSearch/		https://euipo.europa.eu/eSearch/	1	欧州	eSearch plus			0	0	0	0	0	0	0	0	0	0		1	0	0	1	1		1	0	0	0	0	1	0		0	advanced search > trademark classification	0	0	0	0	0		0	0	0		0	0	0	0	0	1	商標（スクリーンショット）	0	0	0	0				完		特許等	eSearch plus
59	http://publicdata.eu/		http://publicdata.eu/	1	欧州	publicdata.eu			0	0	0	0	0	0	0	0	0	0		0	0	0	0	1		0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	広告サイト	0	0	0	0				完		医療健康	publicdata.eu
